S.No,Date,Time,,Sample,Pagg,Gmb,Gmm,"Air Voids, Va",Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Film thickness,Traffic,,,,,,,S.No,Date,Time,Sample,Gmb,Gmm,"Air Voids,",Binder Content (%),Density
1,9/9/2020,Month 13,13,1,94.7,2.324,2.455,5.3,5.2,94.7,2.652,2.707,18.72,71.52,13.4,5.6,8.70,0.06468,,,,,,,,,,,,,Va,,
2,,,13,2,94.3,2.315,2.455,5.7,5.2,94.3,2.652,2.707,19.35,70.55,13.7,6.0,8.70,0.12972,,,,,,,1,9/9/2020,Month 13,1,2.324,2.455,5.3,5.2,94.7
3,,,13,3,94.3,2.315,2.455,5.7,4.8,94.3,2.635,2.707,19.33,70.58,13.6,6.0,8.70,0.19513,,,,,,,2,,,2,2.315,2.455,5.7,5.2,94.3
4,,,13,4,94.6,2.322,2.455,5.4,4.8,94.6,2.635,2.707,18.87,71.29,13.5,5.7,8.70,0.26091,,,,,,,3,,,3,2.315,2.455,5.7,4.8,94.3
5,,,13,5,95.3,2.340,2.455,4.7,5.2,95.3,2.652,2.707,17.58,73.44,12.9,4.9,8.70,0.32706,,,,,,,4,,,4,2.322,2.455,5.4,4.8,94.6
6,,,13,6,94.9,2.329,2.455,5.1,5.2,94.9,2.652,2.707,18.39,72.07,13.3,5.4,8.70,0.39359,,,,,,,5,,,5,2.340,2.455,4.7,5.2,95.3
7,,,13,7,95.4,2.343,2.455,4.6,5.1,95.4,2.650,2.707,17.42,73.73,12.8,4.8,8.70,0.46049,,,,,,,6,,,6,2.329,2.455,5.1,5.2,94.9
8,,,13,8,94.8,2.327,2.455,5.2,5.1,94.8,2.650,2.707,18.51,71.87,13.3,5.5,8.70,0.52777,,,,,,,7,,,7,2.343,2.455,4.6,5.1,95.4
9,,,13,9,95.6,2.347,2.455,4.4,5.2,95.6,2.655,2.707,17.13,74.27,12.7,4.6,8.70,0.59543,,,,,,,8,,,8,2.327,2.455,5.2,5.1,94.8
10,,,13,10,94.9,2.329,2.455,5.1,5.2,94.9,2.655,2.707,18.36,72.11,13.2,5.4,8.70,0.66348,,,,,,,9,,,9,2.347,2.455,4.4,5.2,95.6
11,20-10-2020,Month 14,14,1,92.9,2.224,2.395,7.1,5.0,92.9,2.572,2.707,23.71,69.89,16.6,7.7,8.70,0.06468,,,,,,,,,,std,0.01,,0.48,0.17,0.48
