S.No,Date,Time,Sample,Pagg,Gmb,Gmm,"Air Voids, Va",Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Film thickness,Traffic,AvgVals
1,09-09-2020,13,1,94.7,2.324,2.455,5.3,5.2,94.7,2.652,2.707,18.72,71.52,13.4,5.6,8.7,0.06468,5.12
2,09-09-2020,13,2,94.3,2.315,2.455,5.7,5.2,94.3,2.652,2.707,19.35,70.55,13.7,6,8.7,0.12972,5.12
3,09-09-2020,13,3,94.3,2.315,2.455,5.7,4.8,94.3,2.635,2.707,19.33,70.58,13.6,6,8.7,0.19513,5.12
4,09-09-2020,13,4,94.6,2.322,2.455,5.4,4.8,94.6,2.635,2.707,18.87,71.29,13.5,5.7,8.7,0.26091,5.12
5,09-09-2020,13,5,95.3,2.34,2.455,4.7,5.2,95.3,2.652,2.707,17.58,73.44,12.9,4.9,8.7,0.32706,5.12
6,09-09-2020,13,6,94.9,2.329,2.455,5.1,5.2,94.9,2.652,2.707,18.39,72.07,13.3,5.4,8.7,0.39359,5.12
7,09-09-2020,13,7,95.4,2.343,2.455,4.6,5.1,95.4,2.65,2.707,17.42,73.73,12.8,4.8,8.7,0.46049,5.12
8,09-09-2020,13,8,94.8,2.327,2.455,5.2,5.1,94.8,2.65,2.707,18.51,71.87,13.3,5.5,8.7,0.52777,5.12
9,09-09-2020,13,9,95.6,2.347,2.455,4.4,5.2,95.6,2.655,2.707,17.13,74.27,12.7,4.6,8.7,0.59543,5.12
10,09-09-2020,13,10,94.9,2.329,2.455,5.1,5.2,94.9,2.655,2.707,18.36,72.11,13.2,5.4,8.7,0.66348,5.12
11,20-10-2020,14,1,92.9,2.224,2.395,7.1,5,92.9,2.572,2.707,23.71,69.89,16.6,7.7,8.7,0.06468,7.1375
12,20-10-2020,14,2,93.5,2.239,2.395,6.5,5,93.5,2.572,2.707,22.68,71.28,16.2,7,8.7,0.12972,7.1375
13,20-10-2020,14,3,92.9,2.224,2.395,7.1,4.9,92.9,2.569,2.707,23.71,69.89,16.6,7.7,8.7,0.19513,7.1375
14,20-10-2020,14,4,92.2,2.208,2.395,7.8,4.9,92.2,2.569,2.707,24.8,68.52,17,8.5,8.7,0.26091,7.1375
