S.No,Date,Time,Sample,Pagg,Gmb,Gmm,AirVoids,Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,Film thickness,Traffic,sn
1,28-01-2020,1,1,91.8,2.165,2.359,8.2,5.1,91.8,2.532,2.361,15.86,48.14,7.6,9,3,2.1,8.7,0.2764,11
2,28-01-2020,1,2,91,2.146,2.359,9,5.1,91,2.532,2.361,17.33,47.89,8.3,9.9,3,2.1,8.7,0.2764,12
3,28-01-2020,1,3,92.1,2.173,2.359,7.9,5.7,92.1,2.556,2.361,15.23,48.24,7.3,8.6,3.3,2.4,8.7,0.2764,13
4,28-01-2020,1,4,91.3,2.154,2.359,8.7,5.7,91.3,2.556,2.361,16.71,48,8,9.5,3.3,2.4,8.7,0.2764,14
5,28-01-2020,1,5,90.9,2.144,2.359,9.1,5.3,90.9,2.54,2.361,17.48,47.87,8.4,10,3.1,2.2,8.7,0.2764,15
6,28-01-2020,1,6,91.4,2.156,2.359,8.6,5.3,91.4,2.54,2.361,16.56,48.02,8,9.4,3.1,2.2,8.7,0.2764,16
7,28-01-2020,1,7,93.3,2.201,2.359,6.7,5.1,93.3,2.532,2.361,13.04,48.62,6.3,7.2,3,2.1,8.7,0.2764,17
8,28-01-2020,1,8,93,2.193,2.359,7,5.1,93,2.532,2.361,13.67,48.51,6.6,7.6,3,2.1,8.7,0.2764,18
9,27-02-2020,2,1,92.7,2.225,2.401,7.3,5.1,92.7,2.583,2.361,12.68,42.21,5.4,7.9,3.8,1.3,8.7,0.5544,21
10,27-02-2020,2,2,91.6,2.199,2.401,8.4,5.1,91.6,2.583,2.361,14.71,42.82,6.3,9.2,3.8,1.3,8.7,0.5544,22
11,27-02-2020,2,3,91.9,2.207,2.401,8.1,5,91.9,2.579,2.361,14.09,42.66,6,8.8,3.7,1.3,8.7,0.5544,23
12,27-02-2020,2,4,91.8,2.205,2.401,8.2,5,91.8,2.579,2.361,14.25,42.7,6.1,8.9,3.7,1.3,8.7,0.5544,24
13,27-02-2020,2,5,91.7,2.202,2.401,8.3,5.1,91.7,2.583,2.361,14.48,42.76,6.2,9,3.8,1.3,8.7,0.5544,25
14,27-02-2020,2,6,92.9,2.231,2.401,7.1,5.1,92.9,2.583,2.361,12.21,42.02,5.1,7.6,3.8,1.3,8.7,0.5544,26
15,27-02-2020,2,7,93.6,2.247,2.401,6.4,4.9,93.6,2.575,2.361,10.95,41.42,4.5,6.9,3.6,1.3,8.7,0.5544,27
16,27-02-2020,2,8,92.5,2.221,2.401,7.5,4.9,92.5,2.575,2.361,13,42.32,5.5,8.1,3.6,1.3,8.7,0.5544,28
17,09-09-2020,9,1,93.6,2.208,2.359,6.4,4.8,93.6,2.521,2.361,12.48,48.72,6.1,6.8,2.8,2,8.7,2.5446,91
18,09-09-2020,9,2,93.1,2.197,2.359,6.9,4.8,93.1,2.521,2.361,13.35,48.57,6.5,7.4,2.8,2,8.7,2.5446,92
19,09-09-2020,9,3,93.7,2.21,2.359,6.3,4.8,93.7,2.521,2.361,12.32,48.74,6,6.7,2.8,2,8.7,2.5446,93
20,09-09-2020,9,4,91.6,2.162,2.359,8.4,4.8,91.6,2.521,2.361,16.09,48.1,7.7,9.1,2.8,2,8.7,2.5446,94
21,09-09-2020,9,5,92.9,2.191,2.359,7.1,5.2,92.9,2.536,2.361,13.82,48.48,6.7,7.7,3,2.2,8.7,2.5446,95
22,09-09-2020,9,6,94.4,2.228,2.359,5.6,5.2,94.4,2.536,2.361,10.89,49,5.3,5.9,3,2.2,8.7,2.5446,96
23,09-09-2020,9,7,95.5,2.254,2.359,4.5,4.7,95.5,2.517,2.361,8.8,49.4,4.3,4.7,2.7,2,8.7,2.5446,97
24,09-09-2020,9,8,95,2.241,2.359,5,4.7,95,2.517,2.361,9.85,49.2,4.8,5.3,2.7,2,8.7,2.5446,98
25,20-10-2020,10,1,93.2,2.238,2.401,6.8,4.5,93.2,2.559,2.361,11.66,41.78,4.9,7.3,3.4,1.1,8.7,2.8354,101
26,20-10-2020,10,2,92.8,2.229,2.401,7.2,4.5,92.8,2.559,2.361,12.37,42.08,5.2,7.7,3.4,1.1,8.7,2.8354,102
27,20-10-2020,10,3,94.4,2.266,2.401,5.6,4.3,94.4,2.552,2.361,9.44,40.41,3.8,6,3.3,1,8.7,2.8354,103
28,20-10-2020,10,4,93.5,2.246,2.401,6.5,4.3,93.5,2.552,2.361,11.03,41.46,4.6,6.9,3.3,1,8.7,2.8354,104
29,20-10-2020,10,5,94.8,2.275,2.401,5.2,4.6,94.8,2.563,2.361,8.72,39.78,3.5,5.5,3.5,1.1,8.7,2.8354,105
30,20-10-2020,10,6,94.6,2.271,2.401,5.4,4.6,94.6,2.563,2.361,9.04,40.08,3.6,5.7,3.5,1.1,8.7,2.8354,106
31,20-10-2020,10,7,96,2.305,2.401,4,4.5,96,2.559,2.361,6.29,36.45,2.3,4.2,3.4,1.1,8.7,2.8354,107
32,20-10-2020,10,8,95.2,2.286,2.401,4.8,4.5,95.2,2.559,2.361,7.83,38.83,3,5,3.4,1.1,8.7,2.8354,108
33,12-11-2020,11,1,93.1,2.196,2.359,6.9,5.1,93.1,2.532,2.361,13.43,48.55,6.5,7.4,3,2.1,8.7,3.1278,111
34,12-11-2020,11,2,96,2.265,2.359,4,5.1,96,2.532,2.361,7.9,49.59,3.9,4.2,3,2.1,8.7,3.1278,112
35,12-11-2020,11,3,93.2,2.198,2.359,6.8,4.7,93.2,2.517,2.361,13.27,48.58,6.4,7.3,2.7,2,8.7,3.1278,113
36,12-11-2020,11,4,91.9,2.167,2.359,8.1,4.7,91.9,2.517,2.361,15.7,48.16,7.6,8.9,2.7,2,8.7,3.1278,114
37,12-11-2020,11,5,94.5,2.229,2.359,5.5,4.9,94.5,2.525,2.361,10.81,49.02,5.3,5.8,2.8,2.1,8.7,3.1278,115
38,12-11-2020,11,6,94.9,2.239,2.359,5.1,4.9,94.9,2.525,2.361,10.01,49.17,4.9,5.4,2.8,2.1,8.7,3.1278,116
39,12-11-2020,11,7,93.9,2.214,2.359,6.1,4.8,93.9,2.521,2.361,12.01,48.8,5.9,6.5,2.8,2,8.7,3.1278,117
40,12-11-2020,11,8,95.2,2.246,2.359,4.8,4.8,95.2,2.521,2.361,9.44,49.28,4.7,5,2.8,2,8.7,3.1278,118
41,10-12-2020,12,1,94.1,2.259,2.401,5.9,4.3,94.1,2.552,2.361,9.99,40.83,4.1,6.3,3.3,1,8.7,3.4219,121
42,10-12-2020,12,2,93.5,2.244,2.401,6.5,4.3,93.5,2.552,2.361,11.19,41.54,4.6,7,3.3,1,8.7,3.4219,122
43,10-12-2020,12,3,95.4,2.29,2.401,4.6,4.3,95.4,2.552,2.361,7.51,38.42,2.9,4.8,3.3,1,8.7,3.4219,123
44,10-12-2020,12,4,95.5,2.293,2.401,4.5,4.3,95.5,2.552,2.361,7.26,38.08,2.8,4.7,3.3,1,8.7,3.4219,124
45,10-12-2020,12,5,94.7,2.273,2.401,5.3,4.3,94.7,2.552,2.361,8.88,39.93,3.5,5.6,3.3,1,8.7,3.4219,125
46,10-12-2020,12,6,94.4,2.266,2.401,5.6,4.3,94.4,2.552,2.361,9.44,40.41,3.8,6,3.3,1,8.7,3.4219,126
47,10-12-2020,12,7,94.7,2.273,2.401,5.3,4.3,94.7,2.552,2.361,8.88,39.93,3.5,5.6,3.3,1,8.7,3.4219,127
48,10-12-2020,12,8,93.7,2.249,2.401,6.3,4.3,93.7,2.552,2.361,10.79,41.33,4.5,6.8,3.3,1,8.7,3.4219,128
49,07-01-2021,13,1,94.9,2.239,2.359,5.1,5,94.9,2.528,2.361,10.01,49.17,4.9,5.4,2.9,2.1,8.7,3.7176,131
50,07-01-2021,13,2,93.5,2.206,2.359,6.5,5,93.5,2.528,2.361,12.64,48.69,6.2,6.9,2.9,2.1,8.7,3.7176,132
51,07-01-2021,13,3,95.4,2.251,2.359,4.6,4.8,95.4,2.521,2.361,9.04,49.35,4.5,4.8,2.8,2,8.7,3.7176,133
52,07-01-2021,13,4,94.6,2.232,2.359,5.4,4.8,94.6,2.521,2.361,10.57,49.06,5.2,5.7,2.8,2,8.7,3.7176,134
53,07-01-2021,13,5,94.9,2.239,2.359,5.1,4.9,94.9,2.525,2.361,10.01,49.17,4.9,5.4,2.8,2.1,8.7,3.7176,135
54,07-01-2021,13,6,94.9,2.238,2.359,5.1,4.9,94.9,2.525,2.361,10.09,49.15,5,5.4,2.8,2.1,8.7,3.7176,136
55,07-01-2021,13,7,93.8,2.212,2.359,6.2,4.7,93.8,2.517,2.361,12.16,48.77,5.9,6.6,2.7,2,8.7,3.7176,137
56,07-01-2021,13,8,94.7,2.234,2.359,5.3,4.7,94.7,2.517,2.361,10.41,49.09,5.1,5.6,2.7,2,8.7,3.7176,138
57,11-02-2021,14,1,93.9,2.255,2.401,6.1,4.3,93.9,2.552,2.361,10.31,41.04,4.2,6.5,3.3,1,8.7,4.015,141
58,11-02-2021,14,2,94.3,2.265,2.401,5.7,4.3,94.3,2.552,2.361,9.52,40.47,3.9,6,3.3,1,8.7,4.015,142
59,11-02-2021,14,3,94.7,2.273,2.401,5.3,4.2,94.7,2.548,2.361,8.88,39.93,3.5,5.6,3.2,1,8.7,4.015,143
60,11-02-2021,14,4,93.8,2.252,2.401,6.2,4.2,93.8,2.548,2.361,10.55,41.19,4.3,6.6,3.2,1,8.7,4.015,144
61,11-02-2021,14,5,94.6,2.272,2.401,5.4,4.2,94.6,2.548,2.361,8.96,40.01,3.6,5.7,3.2,1,8.7,4.015,145
62,11-02-2021,14,6,94.5,2.269,2.401,5.5,4.2,94.5,2.548,2.361,9.2,40.22,3.7,5.8,3.2,1,8.7,4.015,146
63,11-02-2021,14,7,95.5,2.292,2.401,4.5,4.4,95.5,2.555,2.361,7.35,38.2,2.8,4.8,3.3,1.1,8.7,4.015,147
64,11-02-2021,14,8,95.1,2.284,2.401,4.9,4.4,95.1,2.555,2.361,7.99,39.02,3.1,5.1,3.3,1.1,8.7,4.015,148
