S.No,Date,Time,Months,Sample,Gmb,Gmm,Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,Traffic,"Air Voids, Va"
1,16-09-2019,Month 1,1,1,2.339,2.505,5.6,93.4,2.734,2.560,99.09,93.31,92.5,7.1,2.6,3.0,25984,6.6
2,16-09-2020,Month 1,1,2,2.338,2.505,5.6,93.3,2.734,2.560,99.95,93.33,93.3,7.1,2.6,3.0,25984,6.7
3,16-09-2021,Month 1,1,3,2.309,2.505,4.8,92.2,2.697,2.560,99.93,92.17,92.1,8.5,2.1,2.7,25984,7.8
4,16-09-2022,Month 1,1,4,2.321,2.505,4.8,92.7,2.697,2.560,99.91,92.65,92.6,7.9,2.1,2.7,25984,7.3
5,16-09-2023,Month 1,1,5,2.294,2.505,5.6,91.6,2.734,2.560,99.88,91.57,91.5,9.2,2.6,3.0,25984,8.4
6,16-09-2024,Month 1,1,6,2.295,2.505,5.6,91.6,2.734,2.560,99.86,91.61,91.5,9.2,2.6,3.0,25984,8.4
7,16-09-2025,Month 1,1,7,2.299,2.505,5.3,91.8,2.720,2.560,99.84,91.76,91.6,9.0,2.4,2.9,25984,8.2
8,16-09-2026,Month 1,1,8,2.356,2.505,5.3,94.1,2.720,2.560,99.81,94.04,93.9,6.3,2.4,2.9,25984,5.9
9,16-09-2027,Month 1,1,9,2.309,2.505,5.8,92.2,2.744,2.560,99.79,92.16,92.0,8.5,2.7,3.1,25984,7.8
10,16-09-2028,Month 1,1,10,2.319,2.505,5.8,92.6,2.744,2.560,99.77,92.56,92.3,8.0,2.7,3.1,25984,7.4
11,18-10-2019,Month 2,2,1,2.32,2.505,5.3,92.6,2.720,2.560,99.98,92.61,92.6,8.0,2.4,2.9,52094,7.4
12,18-10-2020,Month 2,2,2,2.329,2.505,5.3,93,2.720,2.560,99.95,92.97,92.9,7.6,2.4,2.9,52094,7.0
13,18-10-2021,Month 2,2,3,2.284,2.505,4.9,91.2,2.702,2.560,99.93,91.17,91.1,9.7,2.1,2.8,52094,8.8
14,18-10-2022,Month 2,2,4,2.286,2.505,4.9,91.2,2.702,2.560,99.91,91.25,91.2,9.6,2.1,2.8,52094,8.7
15,18-10-2023,Month 2,2,5,2.289,2.505,4.9,91.4,2.702,2.560,99.88,91.37,91.3,9.4,2.1,2.8,52094,8.6
16,18-10-2024,Month 2,2,6,2.287,2.505,4.9,91.3,2.702,2.560,99.86,91.29,91.2,9.5,2.1,2.8,52094,8.7
17,18-10-2025,Month 2,2,7,2.287,2.505,5.1,91.3,2.711,2.560,99.84,91.28,91.1,9.5,2.3,2.8,52094,8.7
18,18-10-2026,Month 2,2,8,2.283,2.505,5.1,91.1,2.711,2.560,99.82,91.12,91.0,9.7,2.3,2.8,52094,8.9
19,18-10-2027,Month 2,2,9,2.329,2.505,5.4,93,2.725,2.560,99.79,92.96,92.8,7.6,2.5,2.9,52094,7.0
20,18-10-2028,Month 2,2,10,2.342,2.505,5.4,93.5,2.725,2.560,99.76,93.48,93.3,7.0,2.5,2.9,52094,6.5
21,19-11-2019,Month 3,3,1,2.42,2.505,5.3,96.6,2.720,2.560,99.98,96.61,96.6,3.5,2.4,2.9,78331,3.4
22,19-11-2020,Month 3,3,2,2.388,2.505,5.3,95.9,2.720,2.560,99.95,95.33,95.3,4.9,2.4,2.9,78331,4.7
23,19-11-2021,Month 3,3,3,2.39,2.505,5.7,96,2.739,2.560,99.93,95.41,95.3,4.8,2.7,3.0,78331,4.6
24,19-11-2022,Month 3,3,4,2.378,2.505,5.7,95.5,2.739,2.560,99.90,94.93,94.8,5.3,2.7,3.0,78331,5.1
25,19-11-2023,Month 3,3,5,2.36,2.505,5.5,94.8,2.730,2.560,99.88,94.20,94.1,6.1,2.5,3.0,78331,5.8
26,19-11-2024,Month 3,3,6,2.299,2.505,5.5,91.8,2.730,2.560,99.86,91.76,91.6,9.0,2.5,3.0,78331,8.2
27,19-11-2025,Month 3,3,7,2.325,2.505,5.5,92.8,2.730,2.560,99.84,92.80,92.7,7.7,2.5,3.0,78331,7.2
28,19-11-2026,Month 3,3,8,2.325,2.505,5.5,92.8,2.730,2.560,99.81,92.80,92.6,7.7,2.5,3.0,78331,7.2
29,19-11-2027,Month 3,3,9,2.347,2.505,5,93.7,2.706,2.560,99.79,93.68,93.5,6.7,2.2,2.8,78331,6.3
30,19-11-2028,Month 3,3,10,2.364,2.505,5,94.4,2.706,2.560,99.76,94.36,94.1,6.0,2.2,2.8,78331,5.6
31,24-12-2019,Month 4,4,1,2.318,2.505,4.6,92.5,2.688,2.560,99.98,92.53,92.5,8.1,1.9,2.7,104696,7.5
32,24-12-2020,Month 4,4,2,2.335,2.505,4.6,93.2,2.688,2.560,99.95,93.21,93.2,7.3,1.9,2.7,104696,6.8
33,24-12-2021,Month 4,4,3,2.294,2.505,4.8,91.6,2.697,2.560,99.93,91.57,91.5,9.2,2.1,2.7,104696,8.4
34,24-12-2022,Month 4,4,4,2.36,2.505,4.8,94.2,2.697,2.560,99.90,94.21,94.1,6.1,2.1,2.7,104696,5.8
35,24-12-2023,Month 4,4,5,2.332,2.505,4.7,93.1,2.693,2.560,99.88,93.09,93.0,7.4,2.0,2.7,104696,6.9
36,24-12-2024,Month 4,4,6,2.399,2.505,4.7,95.8,2.693,2.560,99.85,95.76,95.6,4.4,2.0,2.7,104696,4.2
37,24-12-2025,Month 4,4,7,2.297,2.505,4.8,91.7,2.697,2.560,99.84,91.68,91.5,9.1,2.1,2.7,104696,8.3
38,24-12-2026,Month 4,4,8,2.313,2.505,4.8,92.3,2.697,2.560,99.81,92.32,92.1,8.3,2.1,2.7,104696,7.7
39,24-12-2027,Month 4,4,9,2.309,2.505,4.7,92.2,2.693,2.560,99.79,92.16,92.0,8.5,2.0,2.7,104696,7.8
40,24-12-2028,Month 4,4,10,2.339,2.505,4.7,93.4,2.693,2.560,99.76,93.36,93.1,7.1,2.0,2.7,104696,6.6
41,28-01-2020,Month 5,5,1,2.316,2.505,5.6,92.5,2.734,2.560,99.98,92.45,92.4,8.2,2.6,3.0,131189,7.5
42,28-01-2021,Month 5,5,2,2.314,2.505,5.6,92.4,2.734,2.560,99.95,92.37,92.3,8.3,2.6,3.0,131189,7.6
43,28-01-2022,Month 5,5,3,2.352,2.505,5.2,93.9,2.716,2.560,99.93,93.89,93.8,6.5,2.3,2.9,131189,6.1
44,28-01-2023,Month 5,5,4,2.306,2.505,5.2,92.1,2.716,2.560,99.91,92.05,92.0,8.6,2.3,2.9,131189,7.9
45,28-01-2024,Month 5,5,5,2.378,2.505,4.4,94.9,2.679,2.560,99.88,94.92,94.8,5.3,1.8,2.6,131189,5.1
46,28-01-2025,Month 5,5,6,2.393,2.505,4.4,95.5,2.679,2.560,99.86,95.52,95.4,4.7,1.8,2.6,131189,4.5
47,28-01-2026,Month 5,5,7,2.381,2.505,4.9,95,2.702,2.560,99.83,95.04,94.9,5.2,2.1,2.8,131189,5.0
48,28-01-2027,Month 5,5,8,2.38,2.505,4.9,95,2.702,2.560,99.81,95.00,94.8,5.3,2.1,2.8,131189,5.0
49,28-01-2028,Month 5,5,9,2.35,2.505,5.5,93.8,2.730,2.560,99.79,93.80,93.6,6.6,2.5,3.0,131189,6.2
50,28-01-2029,Month 5,5,10,2.372,2.505,5.5,94.7,2.730,2.560,99.76,94.68,94.5,5.6,2.5,3.0,131189,5.3
51,27-02-2020,Month 6,6,1,2.335,2.505,5.5,93.2,2.730,2.560,99.98,93.21,93.2,7.3,2.5,3.0,157811,6.8
52,27-02-2021,Month 6,6,2,2.335,2.505,5.5,93.2,2.730,2.560,99.95,93.21,93.2,7.3,2.5,3.0,157811,6.8
53,27-02-2022,Month 6,6,3,2.31,2.505,4.8,92.2,2.697,2.560,99.93,92.21,92.1,8.4,2.1,2.7,157811,7.8
54,27-02-2023,Month 6,6,4,2.332,2.505,4.8,93.1,2.697,2.560,99.91,93.09,93.0,7.4,2.1,2.7,157811,6.9
55,27-02-2024,Month 6,6,5,2.352,2.505,4.7,93.9,2.693,2.560,99.88,93.88,93.8,6.5,2.0,2.7,157811,6.1
56,27-02-2025,Month 6,6,6,2.345,2.505,4.7,93.6,2.693,2.560,99.86,93.60,93.5,6.8,2.0,2.7,157811,6.4
57,27-02-2026,Month 6,6,7,2.312,2.505,4.7,92.3,2.693,2.560,99.84,92.28,92.1,8.3,2.0,2.7,157811,7.7
58,27-02-2027,Month 6,6,8,2.338,2.505,4.7,93.3,2.693,2.560,99.81,93.32,93.1,7.1,2.0,2.7,157811,6.7
59,27-02-2028,Month 6,6,9,2.326,2.505,5,92.8,2.706,2.560,99.79,92.84,92.6,7.7,2.2,2.8,157811,7.1
60,27-02-2029,Month 6,6,10,2.351,2.505,5,93.9,2.706,2.560,99.76,93.84,93.6,6.5,2.2,2.8,157811,6.1
61,9/9/2020,Month 13,13,1,2.323,2.505,5,92.7,2.706,2.560,99.98,92.73,92.7,7.8,2.2,2.8,347830,7.3
62,9/10/2020,Month 13,13,2,2.329,2.505,5,93,2.706,2.560,99.95,92.97,92.9,7.6,2.2,2.8,347830,7.0
63,9/11/2020,Month 13,13,3,2.342,2.505,5.3,93.5,2.720,2.560,99.93,93.49,93.4,7.0,2.4,2.9,347830,6.5
64,9/12/2020,Month 13,13,4,2.335,2.505,5.3,93.2,2.720,2.560,99.91,93.21,93.1,7.3,2.4,2.9,347830,6.8
65,9/13/2020,Month 13,13,5,2.364,2.505,4.9,94.4,2.702,2.560,99.88,94.36,94.3,6.0,2.1,2.8,347830,5.6
66,9/14/2020,Month 13,13,6,2.385,2.505,4.9,95.2,2.702,2.560,99.86,95.20,95.1,5.0,2.1,2.8,347830,4.8
67,9/15/2020,Month 13,13,7,2.379,2.505,5,95,2.706,2.560,99.83,94.96,94.8,5.3,2.2,2.8,347830,5.0
68,9/16/2020,Month 13,13,8,2.351,2.505,5,93.9,2.706,2.560,99.81,93.84,93.7,6.5,2.2,2.8,347830,6.1
69,9/17/2020,Month 13,13,9,2.384,2.505,5,95.2,2.706,2.560,99.78,95.16,95.0,5.1,2.2,2.8,347830,4.8
70,9/18/2020,Month 13,13,10,2.365,2.505,5,94.4,2.706,2.560,99.76,94.40,94.2,5.9,2.2,2.8,347830,5.6
71,20-10-2020,Month 14,14,1,2.345,2.505,4.6,93.6,2.688,2.560,99.98,93.61,93.6,6.8,1.9,2.7,375507,6.4
72,20-10-2021,Month 14,14,2,2.349,2.505,4.6,93.8,2.688,2.560,99.95,93.77,93.7,6.6,1.9,2.7,375507,6.2
73,20-10-2022,Month 14,14,3,2.334,2.505,4.9,93.2,2.702,2.560,99.93,93.17,93.1,7.3,2.1,2.8,375507,6.8
74,20-10-2023,Month 14,14,4,2.326,2.505,4.9,92.9,2.702,2.560,99.91,92.85,92.8,7.7,2.1,2.8,375507,7.1
