sn,traffic,airvoids
12,0.2764,9
14,0.2764,8.7
15,0.2764,9.1
16,0.2764,8.6
22,0.5544,8.4
23,0.5544,8.1
24,0.5544,8.2
25,0.5544,8.3
91,2.5446,6.4
92,2.5446,6.9
93,2.5446,6.3
94,2.5446,8.4
95,2.5446,7.1
101,2.8354,6.8
102,2.8354,7.2
103,2.8354,5.6
104,2.8354,6.5
111,3.1278,6.9
113,3.1278,6.8
114,3.1278,8.1
115,3.1278,5.5
117,3.1278,6.1
121,3.4219,5.9
122,3.4219,6.5
125,3.4219,5.3
126,3.4219,5.6
127,3.4219,5.3
128,3.4219,6.3
132,3.7176,6.5
134,3.7176,5.4
137,3.7176,6.2
138,3.7176,5.3
141,4.015,6.1
142,4.015,5.7
143,4.015,5.3
144,4.015,6.2
145,4.015,5.4
146,4.015,5.5
151,4.3141,5.4
152,4.3141,6.9
154,4.3141,5.3
158,4.3141,5.5
192,5.5275,6.4
202,5.8352,4.8
211,6.1446,7.2
215,6.1446,5.4
223,6.4557,6.4
226,6.4557,4.5
227,6.4557,4.8
228,6.4557,4.8
231,6.7686,6
232,6.7686,5.4
233,6.7686,4.8
234,6.7686,6
312,9.3363,4.1
315,9.3363,4
318,9.3363,4.4
319,9.3363,4.1
320,9.3363,4.1
