sn,traffic,airvoids
11,0.2764,8.2
13,0.2764,7.9
17,0.2764,6.7
18,0.2764,7
21,0.5544,7.3
26,0.5544,7.1
27,0.5544,6.4
28,0.5544,7.5
96,2.5446,5.6
97,2.5446,4.5
98,2.5446,5
105,2.8354,5.2
106,2.8354,5.4
107,2.8354,4
108,2.8354,4.8
112,3.1278,4
116,3.1278,5.1
118,3.1278,4.8
123,3.4219,4.6
124,3.4219,4.5
131,3.7176,5.1
133,3.7176,4.6
135,3.7176,5.1
136,3.7176,5.1
147,4.015,4.5
148,4.015,4.9
153,4.3141,4.7
155,4.3141,4.3
156,4.3141,4
157,4.3141,4.5
191,5.5275,4.4
193,5.5275,3.4
194,5.5275,4.1
195,5.5275,3.7
196,5.5275,4.2
197,5.5275,4.1
198,5.5275,3.3
201,5.8352,2.6
203,5.8352,3.3
204,5.8352,2
205,5.8352,3.3
212,6.1446,3.2
213,6.1446,4.2
214,6.1446,3.3
221,6.4557,3
222,6.4557,3.5
224,6.4557,3.6
225,6.4557,4.4
235,6.7686,3.4
236,6.7686,3.8
237,6.7686,2.5
238,6.7686,2.7
311,9.3363,3.7
313,9.3363,3.9
314,9.3363,2.8
316,9.3363,2.1
317,9.3363,3.2
